"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_RR","1","1900-01-01","857","4","5",
"OBS_DEU_P1Y_RR","1","1901-01-01","918","4","5",
"OBS_DEU_P1Y_RR","1","1902-01-01","708","4","5",
"OBS_DEU_P1Y_RR","1","1903-01-01","677","4","5",
"OBS_DEU_P1Y_RR","1","1904-01-01","640","4","5",
"OBS_DEU_P1Y_RR","1","1905-01-01","840","4","5",
"OBS_DEU_P1Y_RR","1","1906-01-01","654","4","5",
"OBS_DEU_P1Y_RR","1","1907-01-01","659","4","5",
"OBS_DEU_P1Y_RR","1","1908-01-01","719","4","5",
"OBS_DEU_P1Y_RR","1","1909-01-01","647","4","5",
"OBS_DEU_P1Y_RR","1001","1901-01-01","633.7","4","1",
"OBS_DEU_P1Y_RR","1001","1902-01-01","629.8","4","1",
"OBS_DEU_P1Y_RR","1001","1903-01-01","570.1","4","1",
"OBS_DEU_P1Y_RR","1001","1904-01-01","483.9","4","1",
"OBS_DEU_P1Y_RR","1001","1905-01-01","903","4","1",
"OBS_DEU_P1Y_RR","1001","1906-01-01","801.4","4","1",
"OBS_DEU_P1Y_RR","1001","1907-01-01","787.1","4","1",
"OBS_DEU_P1Y_RR","1001","1908-01-01","466","4","1",
"OBS_DEU_P1Y_RR","1003","1900-01-01","724.9","4","1",
"OBS_DEU_P1Y_RR","1003","1901-01-01","755.7","4","1",
"OBS_DEU_P1Y_RR","1003","1902-01-01","781.9","4","1",
"OBS_DEU_P1Y_RR","1003","1904-01-01","579.8","4","1",
"OBS_DEU_P1Y_RR","1003","1905-01-01","934.3","4","1",
"OBS_DEU_P1Y_RR","1003","1906-01-01","748.6","4","1",
"OBS_DEU_P1Y_RR","1003","1907-01-01","862.4","4","1",
"OBS_DEU_P1Y_RR","1006","1902-01-01","564.4","4","1",
"OBS_DEU_P1Y_RR","1006","1905-01-01","604","4","1",
"OBS_DEU_P1Y_RR","1006","1906-01-01","569.6","4","1",
"OBS_DEU_P1Y_RR","1006","1907-01-01","580.9","4","1",
"OBS_DEU_P1Y_RR","1006","1908-01-01","466","4","1",
"OBS_DEU_P1Y_RR","1006","1909-01-01","562.1","4","1",
"OBS_DEU_P1Y_RR","101","1907-01-01","613","4","5",
"OBS_DEU_P1Y_RR","101","1908-01-01","639","4","5",
"OBS_DEU_P1Y_RR","101","1909-01-01","727","4","5",
"OBS_DEU_P1Y_RR","1014","1900-01-01","703","4","5",
"OBS_DEU_P1Y_RR","1014","1901-01-01","637","4","5",
"OBS_DEU_P1Y_RR","1014","1902-01-01","600","4","5",
"OBS_DEU_P1Y_RR","1014","1903-01-01","841","4","5",
"OBS_DEU_P1Y_RR","1014","1904-01-01","532","4","5",
"OBS_DEU_P1Y_RR","1014","1905-01-01","619","4","5",
"OBS_DEU_P1Y_RR","1014","1906-01-01","749","4","5",
"OBS_DEU_P1Y_RR","1014","1907-01-01","573","4","5",
"OBS_DEU_P1Y_RR","1014","1908-01-01","613","4","5",
"OBS_DEU_P1Y_RR","1014","1909-01-01","823","4","5",
"OBS_DEU_P1Y_RR","1018","1900-01-01","682","4","5",
"OBS_DEU_P1Y_RR","1018","1901-01-01","871","4","5",
"OBS_DEU_P1Y_RR","1018","1902-01-01","623","4","5",
"OBS_DEU_P1Y_RR","1018","1903-01-01","615","4","5",
"OBS_DEU_P1Y_RR","1018","1904-01-01","663","4","5",
"OBS_DEU_P1Y_RR","1018","1905-01-01","741","4","5",
"OBS_DEU_P1Y_RR","1018","1906-01-01","583","4","5",
"OBS_DEU_P1Y_RR","1018","1907-01-01","658","4","5",
"OBS_DEU_P1Y_RR","1018","1908-01-01","718","4","5",
"OBS_DEU_P1Y_RR","1018","1909-01-01","732","4","5",
"OBS_DEU_P1Y_RR","1020","1909-01-01","637","4","5",
"OBS_DEU_P1Y_RR","1024","1900-01-01","733","4","5",
"OBS_DEU_P1Y_RR","1024","1901-01-01","730","4","5",
"OBS_DEU_P1Y_RR","1024","1902-01-01","764","4","5",
"OBS_DEU_P1Y_RR","1024","1903-01-01","760","4","5",
"OBS_DEU_P1Y_RR","1024","1904-01-01","565","4","5",
"OBS_DEU_P1Y_RR","1024","1905-01-01","888","4","5",
"OBS_DEU_P1Y_RR","1024","1906-01-01","889","4","5",
"OBS_DEU_P1Y_RR","1024","1907-01-01","570","4","5",
"OBS_DEU_P1Y_RR","1024","1908-01-01","671","4","5",
"OBS_DEU_P1Y_RR","1024","1909-01-01","710","4","5",
"OBS_DEU_P1Y_RR","1030","1900-01-01","671","4","5",
"OBS_DEU_P1Y_RR","1030","1901-01-01","646","4","5",
"OBS_DEU_P1Y_RR","1030","1902-01-01","600","4","5",
"OBS_DEU_P1Y_RR","1030","1903-01-01","983","4","5",
"OBS_DEU_P1Y_RR","1030","1904-01-01","660","4","5",
"OBS_DEU_P1Y_RR","1031","1900-01-01","814","4","5",
"OBS_DEU_P1Y_RR","1031","1901-01-01","718","4","5",
"OBS_DEU_P1Y_RR","1031","1902-01-01","817","4","5",
"OBS_DEU_P1Y_RR","1031","1903-01-01","880","4","5",
"OBS_DEU_P1Y_RR","1031","1904-01-01","553","4","5",
"OBS_DEU_P1Y_RR","1031","1905-01-01","864","4","5",
"OBS_DEU_P1Y_RR","1031","1906-01-01","734","4","5",
"OBS_DEU_P1Y_RR","1031","1907-01-01","595","4","5",
"OBS_DEU_P1Y_RR","1031","1908-01-01","721","4","5",
"OBS_DEU_P1Y_RR","1031","1909-01-01","764","4","5",
"OBS_DEU_P1Y_RR","1032","1900-01-01","783","4","5",
"OBS_DEU_P1Y_RR","1032","1901-01-01","641","4","5",
"OBS_DEU_P1Y_RR","1032","1902-01-01","800","4","5",
"OBS_DEU_P1Y_RR","1032","1903-01-01","728","4","5",
"OBS_DEU_P1Y_RR","1032","1904-01-01","665","4","5",
"OBS_DEU_P1Y_RR","1032","1905-01-01","862","4","5",
"OBS_DEU_P1Y_RR","1032","1906-01-01","836","4","5",
"OBS_DEU_P1Y_RR","1032","1907-01-01","699","4","5",
"OBS_DEU_P1Y_RR","1032","1908-01-01","686","4","5",
"OBS_DEU_P1Y_RR","1032","1909-01-01","748","4","5",
"OBS_DEU_P1Y_RR","1033","1900-01-01","829","4","5",
"OBS_DEU_P1Y_RR","1033","1901-01-01","783","4","5",
"OBS_DEU_P1Y_RR","1033","1902-01-01","835","4","5",
"OBS_DEU_P1Y_RR","1033","1903-01-01","784","4","5",
"OBS_DEU_P1Y_RR","1033","1904-01-01","688","4","5",
"OBS_DEU_P1Y_RR","1033","1905-01-01","988","4","5",
"OBS_DEU_P1Y_RR","1033","1906-01-01","858","4","5",
"OBS_DEU_P1Y_RR","1033","1907-01-01","730","4","5",
"OBS_DEU_P1Y_RR","1033","1908-01-01","764","4","5",
"OBS_DEU_P1Y_RR","1033","1909-01-01","763","4","5",
"OBS_DEU_P1Y_RR","104","1900-01-01","994","4","5",
"OBS_DEU_P1Y_RR","104","1901-01-01","1086","4","5",
"OBS_DEU_P1Y_RR","104","1902-01-01","1068","4","5",
"OBS_DEU_P1Y_RR","104","1903-01-01","1114","4","5",
"OBS_DEU_P1Y_RR","104","1904-01-01","884","4","5",
"OBS_DEU_P1Y_RR","104","1905-01-01","1106","4","5",
"OBS_DEU_P1Y_RR","104","1906-01-01","1134","4","5",
"OBS_DEU_P1Y_RR","104","1907-01-01","970","4","5",
"OBS_DEU_P1Y_RR","104","1908-01-01","982","4","5",
