"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_T2M","1","1980-01-01","7.41","4","5",
"OBS_DEU_P1Y_T2M","1","1981-01-01","8.17","4","10",
"OBS_DEU_P1Y_T2M","1","1982-01-01","8.6","4","10",
"OBS_DEU_P1Y_T2M","1","1983-01-01","8.61","4","10",
"OBS_DEU_P1Y_T2M","1","1984-01-01","7.73","4","10",
"OBS_DEU_P1Y_T2M","1","1985-01-01","7.55","4","10",
"OBS_DEU_P1Y_T2M","1000","1992-01-01","9.67","4","10",
"OBS_DEU_P1Y_T2M","1000","1993-01-01","8.44","4","10",
"OBS_DEU_P1Y_T2M","1000","1994-01-01","9.3","4","10",
"OBS_DEU_P1Y_T2M","1000","1995-01-01","8.8","4","10",
"OBS_DEU_P1Y_T2M","1000","1996-01-01","7.08","4","10",
"OBS_DEU_P1Y_T2M","1001","1980-01-01","7.5","4","5",
"OBS_DEU_P1Y_T2M","1001","1981-01-01","8.57","4","10",
"OBS_DEU_P1Y_T2M","1001","1982-01-01","9.58","4","10",
"OBS_DEU_P1Y_T2M","1001","1983-01-01","9.57","4","10",
"OBS_DEU_P1Y_T2M","1001","1984-01-01","8.4","4","10",
"OBS_DEU_P1Y_T2M","1001","1985-01-01","7.8","4","10",
"OBS_DEU_P1Y_T2M","1001","1986-01-01","8.21","4","10",
"OBS_DEU_P1Y_T2M","1001","1987-01-01","7.59","4","10",
"OBS_DEU_P1Y_T2M","1001","1988-01-01","9.42","4","10",
"OBS_DEU_P1Y_T2M","1001","1989-01-01","9.86","4","10",
"OBS_DEU_P1Y_T2M","1001","1990-01-01","9.9","4","10",
"OBS_DEU_P1Y_T2M","1001","1993-01-01","8.72","4","10",
"OBS_DEU_P1Y_T2M","1001","1994-01-01","9.92","4","10",
"OBS_DEU_P1Y_T2M","1001","1995-01-01","9.18","4","10",
"OBS_DEU_P1Y_T2M","1001","1996-01-01","7.22","4","10",
"OBS_DEU_P1Y_T2M","1001","1997-01-01","9.12","4","10",
"OBS_DEU_P1Y_T2M","1001","1998-01-01","9.68","4","10",
"OBS_DEU_P1Y_T2M","1001","1999-01-01","10","4","10",
"OBS_DEU_P1Y_T2M","1001","2000-01-01","10.59","4","10",
"OBS_DEU_P1Y_T2M","1001","2001-01-01","9.31","4","3",
"OBS_DEU_P1Y_T2M","1001","2002-01-01","9.72","4","3",
"OBS_DEU_P1Y_T2M","1001","2003-01-01","9.52","4","3",
"OBS_DEU_P1Y_T2M","1001","2004-01-01","9.42","4","3",
"OBS_DEU_P1Y_T2M","1001","2005-01-01","9.36","4","3",
"OBS_DEU_P1Y_T2M","1001","2006-01-01","9.99","4","3",
"OBS_DEU_P1Y_T2M","1001","2007-01-01","10.42","4","3",
"OBS_DEU_P1Y_T2M","1001","2008-01-01","10.05","4","9",
"OBS_DEU_P1Y_T2M","1001","2009-01-01","9.35","4","9",
"OBS_DEU_P1Y_T2M","1001","2010-01-01","7.99","4","9",
"OBS_DEU_P1Y_T2M","1001","2011-01-01","9.91","4","9",
"OBS_DEU_P1Y_T2M","1001","2013-01-01","9.14","4","9",
"OBS_DEU_P1Y_T2M","1001","2014-01-01","10.75","4","9",
"OBS_DEU_P1Y_T2M","1001","2015-01-01","10.56","4","9",
"OBS_DEU_P1Y_T2M","1001","2016-01-01","10.03","4","9",
"OBS_DEU_P1Y_T2M","1001","2017-01-01","10.04","4","9",
"OBS_DEU_P1Y_T2M","1001","2018-01-01","11.06","4","9",
"OBS_DEU_P1Y_T2M","1001","2019-01-01","11.17","4","9",
"OBS_DEU_P1Y_T2M","1001","2020-01-01","10.99","4","9",
"OBS_DEU_P1Y_T2M","1001","2021-01-01","9.64","4","9",
"OBS_DEU_P1Y_T2M","1001","2022-01-01","10.81","4","9",
"OBS_DEU_P1Y_T2M","1001","2023-01-01","11.03","4","3",
"OBS_DEU_P1Y_T2M","1001","2024-01-01","11.58","4","1",
"OBS_DEU_P1Y_T2M","1018","1980-01-01","6.12","4","5",
"OBS_DEU_P1Y_T2M","1018","1981-01-01","6.56","4","10",
