"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_RR","1","1930-01-01","854.1","4","1",
"OBS_DEU_P1Y_RR","1","1931-01-01","799.3","4","5",
"OBS_DEU_P1Y_RR","1","1932-01-01","640.4","4","5",
"OBS_DEU_P1Y_RR","1","1933-01-01","750.1","4","5",
"OBS_DEU_P1Y_RR","1","1934-01-01","638.8","4","5",
"OBS_DEU_P1Y_RR","1","1935-01-01","824.7","4","5",
"OBS_DEU_P1Y_RR","1","1936-01-01","891.5","4","5",
"OBS_DEU_P1Y_RR","1","1937-01-01","817.4","4","5",
"OBS_DEU_P1Y_RR","1","1938-01-01","766.5","4","5",
"OBS_DEU_P1Y_RR","1","1939-01-01","1072.3","4","5",
"OBS_DEU_P1Y_RR","10","1938-01-01","724","4","5",
"OBS_DEU_P1Y_RR","10","1939-01-01","818","4","5",
"OBS_DEU_P1Y_RR","1001","1933-01-01","534.2","4","1",
"OBS_DEU_P1Y_RR","1001","1934-01-01","549.5","4","1",
"OBS_DEU_P1Y_RR","1001","1935-01-01","576.1","4","1",
"OBS_DEU_P1Y_RR","1001","1936-01-01","523.9","4","1",
"OBS_DEU_P1Y_RR","1001","1938-01-01","715.7","4","1",
"OBS_DEU_P1Y_RR","1001","1939-01-01","810.6","4","1",
"OBS_DEU_P1Y_RR","1003","1936-01-01","582.1","4","1",
"OBS_DEU_P1Y_RR","1003","1937-01-01","762.6","4","1",
"OBS_DEU_P1Y_RR","1003","1938-01-01","598.3","4","1",
"OBS_DEU_P1Y_RR","1003","1939-01-01","773.4","4","1",
"OBS_DEU_P1Y_RR","1006","1930-01-01","622","4","1",
"OBS_DEU_P1Y_RR","1006","1931-01-01","679","4","1",
"OBS_DEU_P1Y_RR","1006","1932-01-01","563.1","4","1",
"OBS_DEU_P1Y_RR","1006","1933-01-01","501.2","4","1",
"OBS_DEU_P1Y_RR","1006","1934-01-01","422.7","4","1",
"OBS_DEU_P1Y_RR","1006","1936-01-01","626.9","4","1",
"OBS_DEU_P1Y_RR","1006","1937-01-01","735.8","4","1",
"OBS_DEU_P1Y_RR","1006","1938-01-01","559.8","4","1",
"OBS_DEU_P1Y_RR","1006","1939-01-01","655","4","1",
"OBS_DEU_P1Y_RR","1009","1930-01-01","625","4","5",
"OBS_DEU_P1Y_RR","1009","1931-01-01","746.5","4","5",
"OBS_DEU_P1Y_RR","1009","1932-01-01","681.7","4","5",
"OBS_DEU_P1Y_RR","1009","1933-01-01","581.5","4","5",
"OBS_DEU_P1Y_RR","1009","1934-01-01","512.1","4","5",
"OBS_DEU_P1Y_RR","1009","1935-01-01","643.1","4","5",
"OBS_DEU_P1Y_RR","1009","1936-01-01","752.2","4","5",
"OBS_DEU_P1Y_RR","1009","1937-01-01","642.7","4","5",
"OBS_DEU_P1Y_RR","1009","1938-01-01","635.4","4","5",
"OBS_DEU_P1Y_RR","1009","1939-01-01","809.2","4","5",
"OBS_DEU_P1Y_RR","101","1930-01-01","820","4","5",
"OBS_DEU_P1Y_RR","101","1931-01-01","839.5","4","5",
"OBS_DEU_P1Y_RR","101","1932-01-01","726","4","5",
"OBS_DEU_P1Y_RR","101","1933-01-01","638.8","4","5",
"OBS_DEU_P1Y_RR","101","1934-01-01","673.5","4","5",
"OBS_DEU_P1Y_RR","101","1935-01-01","863.3","4","5",
"OBS_DEU_P1Y_RR","101","1936-01-01","893.2","4","5",
"OBS_DEU_P1Y_RR","101","1937-01-01","820.7","4","5",
"OBS_DEU_P1Y_RR","101","1938-01-01","790.8","4","5",
"OBS_DEU_P1Y_RR","101","1939-01-01","1081.3","4","5",
"OBS_DEU_P1Y_RR","1012","1937-01-01","755","4","5",
"OBS_DEU_P1Y_RR","1012","1938-01-01","748","4","5",
"OBS_DEU_P1Y_RR","1012","1939-01-01","1083","4","5",
"OBS_DEU_P1Y_RR","1014","1930-01-01","789","4","5",
"OBS_DEU_P1Y_RR","1014","1931-01-01","815","4","5",
"OBS_DEU_P1Y_RR","1014","1932-01-01","752","4","5",
"OBS_DEU_P1Y_RR","1014","1933-01-01","556","4","5",
"OBS_DEU_P1Y_RR","1014","1934-01-01","624","4","5",
"OBS_DEU_P1Y_RR","1014","1935-01-01","767","4","5",
"OBS_DEU_P1Y_RR","1014","1936-01-01","802","4","5",
"OBS_DEU_P1Y_RR","1014","1937-01-01","731","4","5",
"OBS_DEU_P1Y_RR","1014","1938-01-01","703","4","5",
"OBS_DEU_P1Y_RR","1014","1939-01-01","807","4","5",
"OBS_DEU_P1Y_RR","1015","1930-01-01","553","4","5",
"OBS_DEU_P1Y_RR","1015","1931-01-01","533","4","5",
"OBS_DEU_P1Y_RR","1015","1932-01-01","555","4","5",
"OBS_DEU_P1Y_RR","1015","1933-01-01","467","4","5",
"OBS_DEU_P1Y_RR","1015","1934-01-01","419","4","5",
"OBS_DEU_P1Y_RR","1015","1935-01-01","559","4","5",
"OBS_DEU_P1Y_RR","1015","1936-01-01","482","4","5",
"OBS_DEU_P1Y_RR","1015","1937-01-01","718","4","5",
"OBS_DEU_P1Y_RR","1015","1938-01-01","510","4","5",
"OBS_DEU_P1Y_RR","1015","1939-01-01","679","4","5",
"OBS_DEU_P1Y_RR","1016","1937-01-01","872","4","5",
"OBS_DEU_P1Y_RR","1016","1938-01-01","814","4","5",
"OBS_DEU_P1Y_RR","1016","1939-01-01","753","4","5",
"OBS_DEU_P1Y_RR","1018","1930-01-01","812","4","5",
"OBS_DEU_P1Y_RR","1018","1931-01-01","946","4","5",
"OBS_DEU_P1Y_RR","1018","1932-01-01","673","4","5",
"OBS_DEU_P1Y_RR","1018","1933-01-01","623","4","5",
"OBS_DEU_P1Y_RR","1018","1934-01-01","594","4","5",
"OBS_DEU_P1Y_RR","1018","1935-01-01","812","4","5",
"OBS_DEU_P1Y_RR","1018","1936-01-01","920","4","5",
"OBS_DEU_P1Y_RR","1018","1937-01-01","721","4","5",
"OBS_DEU_P1Y_RR","1018","1938-01-01","816","4","5",
"OBS_DEU_P1Y_RR","1018","1939-01-01","1164","4","5",
"OBS_DEU_P1Y_RR","1019","1930-01-01","809","4","5",
"OBS_DEU_P1Y_RR","1019","1931-01-01","736.5","4","5",
"OBS_DEU_P1Y_RR","1019","1932-01-01","646.3","4","5",
"OBS_DEU_P1Y_RR","1019","1933-01-01","641.9","4","5",
"OBS_DEU_P1Y_RR","1019","1934-01-01","654","4","5",
"OBS_DEU_P1Y_RR","1019","1935-01-01","758.6","4","5",
"OBS_DEU_P1Y_RR","1019","1936-01-01","845.2","4","5",
"OBS_DEU_P1Y_RR","1019","1937-01-01","752.6","4","5",
"OBS_DEU_P1Y_RR","1019","1938-01-01","723.1","4","5",
"OBS_DEU_P1Y_RR","1019","1939-01-01","874.6","4","5",
"OBS_DEU_P1Y_RR","1020","1930-01-01","775","4","5",
"OBS_DEU_P1Y_RR","1020","1931-01-01","683.4","4","5",
"OBS_DEU_P1Y_RR","1020","1932-01-01","533.8","4","5",
"OBS_DEU_P1Y_RR","1020","1933-01-01","607.1","4","5",
"OBS_DEU_P1Y_RR","1020","1934-01-01","488.1","4","5",
"OBS_DEU_P1Y_RR","1020","1935-01-01","720.3","4","5",
"OBS_DEU_P1Y_RR","1020","1936-01-01","798.4","4","5",
"OBS_DEU_P1Y_RR","1020","1937-01-01","647.7","4","5",
"OBS_DEU_P1Y_RR","1020","1938-01-01","675.8","4","5",
"OBS_DEU_P1Y_RR","1020","1939-01-01","993.8","4","5",
"OBS_DEU_P1Y_RR","1024","1930-01-01","623","4","5",
"OBS_DEU_P1Y_RR","1024","1931-01-01","806.9","4","5",
"OBS_DEU_P1Y_RR","1024","1932-01-01","613.5","4","5",
"OBS_DEU_P1Y_RR","1024","1933-01-01","470.4","4","5",
"OBS_DEU_P1Y_RR","1024","1934-01-01","601.3","4","5",
"OBS_DEU_P1Y_RR","1024","1935-01-01","689.6","4","5",
"OBS_DEU_P1Y_RR","1024","1936-01-01","783.9","4","5",
"OBS_DEU_P1Y_RR","1024","1937-01-01","705.3","4","5",
"OBS_DEU_P1Y_RR","1024","1938-01-01","828.9","4","5",
"OBS_DEU_P1Y_RR","1024","1939-01-01","765","4","5",
"OBS_DEU_P1Y_RR","1026","1937-01-01","618","4","5",
"OBS_DEU_P1Y_RR","1026","1938-01-01","490","4","5",
"OBS_DEU_P1Y_RR","1026","1939-01-01","759","4","5",
"OBS_DEU_P1Y_RR","1027","1930-01-01","555","4","5",
"OBS_DEU_P1Y_RR","1027","1931-01-01","572","4","5",
"OBS_DEU_P1Y_RR","1027","1932-01-01","482","4","5",
"OBS_DEU_P1Y_RR","1027","1933-01-01","343","4","5",
"OBS_DEU_P1Y_RR","1027","1934-01-01","373","4","5",
"OBS_DEU_P1Y_RR","1027","1935-01-01","492","4","5",
"OBS_DEU_P1Y_RR","1027","1936-01-01","508","4","5",
"OBS_DEU_P1Y_RR","1027","1937-01-01","577","4","5",
"OBS_DEU_P1Y_RR","1027","1938-01-01","488","4","5",
"OBS_DEU_P1Y_RR","1027","1939-01-01","612","4","5",
"OBS_DEU_P1Y_RR","1028","1930-01-01","1290","4","5",
"OBS_DEU_P1Y_RR","1028","1931-01-01","1397","4","5",
"OBS_DEU_P1Y_RR","1028","1932-01-01","788","4","5",
"OBS_DEU_P1Y_RR","1028","1933-01-01","788","4","5",
"OBS_DEU_P1Y_RR","1028","1934-01-01","744","4","5",
"OBS_DEU_P1Y_RR","1028","1935-01-01","1141","4","5",
"OBS_DEU_P1Y_RR","1028","1936-01-01","1107","4","5",
"OBS_DEU_P1Y_RR","1028","1937-01-01","988","4","5",
"OBS_DEU_P1Y_RR","1028","1938-01-01","1044","4","5",
"OBS_DEU_P1Y_RR","1028","1939-01-01","1363","4","5",
"OBS_DEU_P1Y_RR","1030","1939-01-01","748","4","5",
"OBS_DEU_P1Y_RR","1031","1930-01-01","871","4","5",
"OBS_DEU_P1Y_RR","1031","1931-01-01","785.6","4","5",
"OBS_DEU_P1Y_RR","1031","1932-01-01","813.3","4","5",
"OBS_DEU_P1Y_RR","1031","1933-01-01","609.3","4","5",
"OBS_DEU_P1Y_RR","1031","1934-01-01","636.9","4","5",
"OBS_DEU_P1Y_RR","1031","1935-01-01","821.9","4","5",
"OBS_DEU_P1Y_RR","1031","1936-01-01","866.5","4","5",
"OBS_DEU_P1Y_RR","1031","1937-01-01","716.6","4","5",
"OBS_DEU_P1Y_RR","1031","1938-01-01","731.5","4","5",
"OBS_DEU_P1Y_RR","1031","1939-01-01","835.4","4","5",
"OBS_DEU_P1Y_RR","1032","1930-01-01","832","4","5",
"OBS_DEU_P1Y_RR","1032","1931-01-01","729","4","5",
"OBS_DEU_P1Y_RR","1032","1932-01-01","697","4","5",
"OBS_DEU_P1Y_RR","1032","1933-01-01","638","4","5",
"OBS_DEU_P1Y_RR","1032","1934-01-01","625","4","5",
"OBS_DEU_P1Y_RR","1032","1935-01-01","761","4","5",
"OBS_DEU_P1Y_RR","1032","1936-01-01","885","4","5",
"OBS_DEU_P1Y_RR","1032","1937-01-01","740","4","5",
"OBS_DEU_P1Y_RR","1032","1938-01-01","817","4","5",
"OBS_DEU_P1Y_RR","1032","1939-01-01","893","4","5",
"OBS_DEU_P1Y_RR","1033","1930-01-01","796","4","5",
"OBS_DEU_P1Y_RR","1033","1931-01-01","681.8","4","5",
"OBS_DEU_P1Y_RR","1033","1932-01-01","721.7","4","5",
"OBS_DEU_P1Y_RR","1033","1933-01-01","516.5","4","5",
"OBS_DEU_P1Y_RR","1033","1934-01-01","652.8","4","5",
"OBS_DEU_P1Y_RR","1033","1935-01-01","718.9","4","5",
"OBS_DEU_P1Y_RR","1033","1936-01-01","739.3","4","5",
"OBS_DEU_P1Y_RR","1033","1937-01-01","692.4","4","5",
"OBS_DEU_P1Y_RR","1033","1938-01-01","738.9","4","5",
"OBS_DEU_P1Y_RR","1033","1939-01-01","757.5","4","5",
"OBS_DEU_P1Y_RR","1039","1936-01-01","829","4","5",
"OBS_DEU_P1Y_RR","1039","1937-01-01","695","4","5",
"OBS_DEU_P1Y_RR","1039","1938-01-01","632","4","5",
"OBS_DEU_P1Y_RR","1039","1939-01-01","822","4","5",
"OBS_DEU_P1Y_RR","104","1930-01-01","1154","4","5",
"OBS_DEU_P1Y_RR","104","1931-01-01","1002","4","5",
"OBS_DEU_P1Y_RR","104","1932-01-01","799","4","5",
"OBS_DEU_P1Y_RR","104","1933-01-01","787","4","5",
"OBS_DEU_P1Y_RR","104","1937-01-01","920","4","5",
"OBS_DEU_P1Y_RR","104","1938-01-01","1019","4","5",
