"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"13838","Schelzberg","8,1167","48,6167","250.0","https://cdc.dwd.de/rest/metadata/station/html/2491141418"
"19647","Eberbach/Neckar","8,9794","49,4547","178.0","https://cdc.dwd.de/rest/metadata/station/html/2491960129"
"4517","Schömberg, Kr. Calw","8,6451","48,7859","635.0","https://cdc.dwd.de/rest/metadata/station/html/2560460592"
"13852","Friedenfels (A)","12,1000","49,8833","525.0","https://cdc.dwd.de/rest/metadata/station/html/2568152689"
"13873","Kreuzholzhausen","11,3000","48,2667","551.0","https://cdc.dwd.de/rest/metadata/station/html/2578316908"
"19631","Salzungen","10,2294","50,8083","268.0","https://cdc.dwd.de/rest/metadata/station/html/2601379895"
"19171","Hasenkrug-Hardebek","9,8555","54,0039","13.0","https://cdc.dwd.de/rest/metadata/station/html/2623005519"
"13807","Altmorschen (A)","9,6500","51,0667","195.0","https://cdc.dwd.de/rest/metadata/station/html/269715193"
"13547","Döschnitz","11,2333","50,6167","415.0","https://cdc.dwd.de/rest/metadata/station/html/2716900867"
"16085","Leherheide","8,6011","53,5874","8.0","https://cdc.dwd.de/rest/metadata/station/html/271761800"
"13847","Heuberg","9,0667","48,1667","810.0","https://cdc.dwd.de/rest/metadata/station/html/2731627553"
"13848","Kirchberg (A)","8,7333","48,3500","577.0","https://cdc.dwd.de/rest/metadata/station/html/2780834258"
"13805","Ellewick","6,7667","52,0667","32.0","https://cdc.dwd.de/rest/metadata/station/html/282787220"
"13842","Wertheim-Flughafen","9,4833","49,7500","327.0","https://cdc.dwd.de/rest/metadata/station/html/2829689539"
"19794","Amberg (Mariahilfberg)","11,0109","49,4593","519.0","https://cdc.dwd.de/rest/metadata/station/html/2834101523"
"13853","Gerolzhofen (A)","10,3500","49,9000","237.0","https://cdc.dwd.de/rest/metadata/station/html/2846361315"
"2693","Königstein/Taunus","8,4698","50,1855","380.0","https://cdc.dwd.de/rest/metadata/station/html/284642009"
"13892","Schkeuditz","12,2167","51,4000","138.0","https://cdc.dwd.de/rest/metadata/station/html/2854241908"
"13882","Hohwald-Heilstätte","12,5000","51,9000","410.0","https://cdc.dwd.de/rest/metadata/station/html/2881751904"
"13895","Soldin","14,8833","52,9333","60.0","https://cdc.dwd.de/rest/metadata/station/html/2978238672"
"13798","Grünendeich-Lühe","9,6167","53,6000","2.0","https://cdc.dwd.de/rest/metadata/station/html/2995564016"
"1487","Friedrichroda (Kurort)","10,5667","50,8500","451.0","https://cdc.dwd.de/rest/metadata/station/html/3014576003"
"13858","Büchling","12,6333","48,7667","336.0","https://cdc.dwd.de/rest/metadata/station/html/3019880913"
"13872","Ebenhausen-Schäftlarn","11,4500","47,9833","695.0","https://cdc.dwd.de/rest/metadata/station/html/3026435478"
"13862","Nebelhorn (Berg)","10,3475","47,4137","1929.0","https://cdc.dwd.de/rest/metadata/station/html/3046932016"
"13823","Kalmit","8,0824","49,3192","673.0","https://cdc.dwd.de/rest/metadata/station/html/3055159693"
"13840","Calw, Kreis Calw","8,7167","48,7167","350.0","https://cdc.dwd.de/rest/metadata/station/html/3112624992"
"13855","Illesheim","10,3833","49,4833","325.0","https://cdc.dwd.de/rest/metadata/station/html/3125774986"
"13795","Kiel-Physikalisches Institut","10,1333","54,3167","4.0","https://cdc.dwd.de/rest/metadata/station/html/3133293260"
"13829","Üttfeld","6,2667","50,1333","483.0","https://cdc.dwd.de/rest/metadata/station/html/3136114572"
"13859","Jenner-Bergstation","13,0167","47,5667","1800.0","https://cdc.dwd.de/rest/metadata/station/html/3159831132"
"13825","Frei-Weinheim","8,0333","49,9833","81.0","https://cdc.dwd.de/rest/metadata/station/html/3166516231"
"13816","Neesbach","8,1500","50,3167","185.0","https://cdc.dwd.de/rest/metadata/station/html/3185922648"
"13845","Rietenau","9,4167","48,9833","288.0","https://cdc.dwd.de/rest/metadata/station/html/3186391978"
"4471","Schliersee (A)","11,8505","47,7358","780.0","https://cdc.dwd.de/rest/metadata/station/html/3199397885"
"2423","Isny","10,0416","47,6894","712.0","https://cdc.dwd.de/rest/metadata/station/html/3220370963"
"13878","Deutschenbora","13,3500","51,0500","243.0","https://cdc.dwd.de/rest/metadata/station/html/3224864951"
"19580","Urach, Bad/Erms","9,4003","48,4951","471.0","https://cdc.dwd.de/rest/metadata/station/html/3240170090"
