"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_RR","1001","2010-01-01","779.5","4","9",
"OBS_DEU_P1Y_RR","1001","2011-01-01","517.4","4","9",
"OBS_DEU_P1Y_RR","1001","2012-01-01","548.6","4","9",
"OBS_DEU_P1Y_RR","1001","2013-01-01","614.2","4","9",
"OBS_DEU_P1Y_RR","1001","2014-01-01","427.2","4","9",
"OBS_DEU_P1Y_RR","1001","2015-01-01","545","4","9",
"OBS_DEU_P1Y_RR","1001","2016-01-01","561.6","4","9",
"OBS_DEU_P1Y_RR","1001","2017-01-01","552.7","4","9",
"OBS_DEU_P1Y_RR","1001","2018-01-01","390.8","4","9",
"OBS_DEU_P1Y_RR","1001","2019-01-01","444.1","4","9",
"OBS_DEU_P1Y_RR","1014","2010-01-01","705.9","4","9",
"OBS_DEU_P1Y_RR","1014","2011-01-01","680.4","4","9",
"OBS_DEU_P1Y_RR","1014","2012-01-01","739.5","4","9",
"OBS_DEU_P1Y_RR","1014","2013-01-01","700.4","4","9",
"OBS_DEU_P1Y_RR","1014","2014-01-01","739.2","4","9",
"OBS_DEU_P1Y_RR","1014","2015-01-01","871.7","4","9",
"OBS_DEU_P1Y_RR","1014","2016-01-01","652.1","4","9",
"OBS_DEU_P1Y_RR","1014","2017-01-01","774.4","4","9",
"OBS_DEU_P1Y_RR","1014","2018-01-01","551.4","4","9",
"OBS_DEU_P1Y_RR","1014","2019-01-01","722.1","4","9",
"OBS_DEU_P1Y_RR","1016","2010-01-01","806","4","9",
"OBS_DEU_P1Y_RR","1016","2011-01-01","908","4","9",
"OBS_DEU_P1Y_RR","1016","2012-01-01","808.6","4","9",
"OBS_DEU_P1Y_RR","1016","2013-01-01","785.9","4","9",
"OBS_DEU_P1Y_RR","1016","2014-01-01","969.1","4","9",
"OBS_DEU_P1Y_RR","1016","2015-01-01","1004.5","4","9",
"OBS_DEU_P1Y_RR","1016","2016-01-01","838.2","4","9",
"OBS_DEU_P1Y_RR","1016","2017-01-01","938.3","4","9",
"OBS_DEU_P1Y_RR","1016","2018-01-01","630.8","4","9",
"OBS_DEU_P1Y_RR","1016","2019-01-01","946","4","9",
"OBS_DEU_P1Y_RR","1021","2010-01-01","753.9","4","9",
"OBS_DEU_P1Y_RR","1021","2011-01-01","492.1","4","9",
"OBS_DEU_P1Y_RR","1021","2012-01-01","560.4","4","9",
"OBS_DEU_P1Y_RR","1021","2013-01-01","639.5","4","9",
"OBS_DEU_P1Y_RR","1021","2014-01-01","496.6","4","9",
"OBS_DEU_P1Y_RR","1021","2015-01-01","491.6","4","9",
"OBS_DEU_P1Y_RR","1021","2017-01-01","681.5","4","9",
"OBS_DEU_P1Y_RR","1021","2018-01-01","345.8","4","9",
"OBS_DEU_P1Y_RR","1021","2019-01-01","435.6","4","9",
"OBS_DEU_P1Y_RR","1022","2016-01-01","884.5","4","9",
"OBS_DEU_P1Y_RR","1022","2017-01-01","925.9","4","9",
"OBS_DEU_P1Y_RR","1022","2018-01-01","692.8","4","9",
"OBS_DEU_P1Y_RR","1024","2010-01-01","756","4","9",
"OBS_DEU_P1Y_RR","1024","2011-01-01","636.3","4","9",
"OBS_DEU_P1Y_RR","1024","2012-01-01","697.6","4","9",
"OBS_DEU_P1Y_RR","1024","2013-01-01","613.3","4","9",
"OBS_DEU_P1Y_RR","1024","2015-01-01","700.1","4","9",
"OBS_DEU_P1Y_RR","1024","2016-01-01","677.5","4","9",
"OBS_DEU_P1Y_RR","1024","2017-01-01","702.9","4","9",
"OBS_DEU_P1Y_RR","1024","2018-01-01","575.6","4","9",
"OBS_DEU_P1Y_RR","1024","2019-01-01","668.1","4","9",
"OBS_DEU_P1Y_RR","103","2010-01-01","717.2","4","9",
"OBS_DEU_P1Y_RR","103","2011-01-01","692.8","4","9",
"OBS_DEU_P1Y_RR","103","2012-01-01","788.7","4","9",
"OBS_DEU_P1Y_RR","103","2013-01-01","765.4","4","9",
"OBS_DEU_P1Y_RR","103","2014-01-01","541.3","4","9",
"OBS_DEU_P1Y_RR","103","2015-01-01","531.8","4","9",
"OBS_DEU_P1Y_RR","103","2016-01-01","700.5","4","9",
"OBS_DEU_P1Y_RR","103","2017-01-01","684.6","4","9",
"OBS_DEU_P1Y_RR","103","2018-01-01","634.3","4","9",
"OBS_DEU_P1Y_RR","103","2019-01-01","613.8","4","9",
"OBS_DEU_P1Y_RR","1030","2010-01-01","845.3","4","9",
"OBS_DEU_P1Y_RR","1030","2011-01-01","970.9","4","9",
