"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_RR","1","1970-01-01","851.6","4","5",
"OBS_DEU_P1Y_RR","1","1971-01-01","599.3","4","5",
"OBS_DEU_P1Y_RR","1","1972-01-01","777.8","4","5",
"OBS_DEU_P1Y_RR","1","1973-01-01","754.1","4","5",
"OBS_DEU_P1Y_RR","1","1974-01-01","771.1","4","5",
"OBS_DEU_P1Y_RR","1","1975-01-01","847.4","4","5",
"OBS_DEU_P1Y_RR","1","1976-01-01","618.6","4","5",
"OBS_DEU_P1Y_RR","1","1977-01-01","813.5","4","5",
"OBS_DEU_P1Y_RR","1","1978-01-01","888.8","4","5",
"OBS_DEU_P1Y_RR","1","1979-01-01","776.7","4","5",
"OBS_DEU_P1Y_RR","10","1970-01-01","877.1","4","5",
"OBS_DEU_P1Y_RR","10","1971-01-01","440.5","4","5",
"OBS_DEU_P1Y_RR","10","1972-01-01","558.7","4","5",
"OBS_DEU_P1Y_RR","10","1973-01-01","578.1","4","5",
"OBS_DEU_P1Y_RR","10","1974-01-01","890.5","4","5",
"OBS_DEU_P1Y_RR","10","1975-01-01","708.8","4","5",
"OBS_DEU_P1Y_RR","10","1976-01-01","569.6","4","5",
"OBS_DEU_P1Y_RR","10","1977-01-01","716.4","4","5",
"OBS_DEU_P1Y_RR","10","1978-01-01","750","4","5",
"OBS_DEU_P1Y_RR","10","1979-01-01","845.2","4","5",
"OBS_DEU_P1Y_RR","100","1970-01-01","629.1","4","1",
"OBS_DEU_P1Y_RR","100","1971-01-01","523.6","4","1",
"OBS_DEU_P1Y_RR","100","1972-01-01","422.1","4","1",
"OBS_DEU_P1Y_RR","100","1973-01-01","551.6","4","1",
"OBS_DEU_P1Y_RR","100","1974-01-01","737.5","4","1",
"OBS_DEU_P1Y_RR","100","1975-01-01","359.5","4","1",
"OBS_DEU_P1Y_RR","100","1976-01-01","367.2","4","1",
"OBS_DEU_P1Y_RR","100","1977-01-01","669.2","4","1",
"OBS_DEU_P1Y_RR","100","1978-01-01","660.5","4","1",
"OBS_DEU_P1Y_RR","100","1979-01-01","535.9","4","1",
"OBS_DEU_P1Y_RR","1000","1970-01-01","579.8","4","5",
"OBS_DEU_P1Y_RR","1000","1971-01-01","443.4","4","5",
"OBS_DEU_P1Y_RR","1000","1972-01-01","563.1","4","5",
"OBS_DEU_P1Y_RR","1000","1973-01-01","581.3","4","5",
"OBS_DEU_P1Y_RR","1000","1974-01-01","592.4","4","5",
"OBS_DEU_P1Y_RR","1000","1975-01-01","502.6","4","5",
"OBS_DEU_P1Y_RR","1000","1976-01-01","441.5","4","5",
"OBS_DEU_P1Y_RR","1000","1977-01-01","545","4","5",
"OBS_DEU_P1Y_RR","1000","1978-01-01","616.9","4","5",
"OBS_DEU_P1Y_RR","1000","1979-01-01","572","4","5",
"OBS_DEU_P1Y_RR","1001","1970-01-01","567.2","4","5",
"OBS_DEU_P1Y_RR","1001","1971-01-01","461.6","4","5",
"OBS_DEU_P1Y_RR","1001","1972-01-01","422.4","4","5",
"OBS_DEU_P1Y_RR","1001","1973-01-01","501.1","4","5",
"OBS_DEU_P1Y_RR","1001","1974-01-01","758.5","4","5",
"OBS_DEU_P1Y_RR","1001","1975-01-01","458.7","4","5",
"OBS_DEU_P1Y_RR","1001","1976-01-01","363.6","4","5",
"OBS_DEU_P1Y_RR","1001","1977-01-01","709.9","4","5",
"OBS_DEU_P1Y_RR","1001","1978-01-01","610.2","4","5",
"OBS_DEU_P1Y_RR","1001","1979-01-01","633.7","4","5",
"OBS_DEU_P1Y_RR","1002","1977-01-01","636.7","4","5",
"OBS_DEU_P1Y_RR","1002","1978-01-01","664.9","4","5",
"OBS_DEU_P1Y_RR","1002","1979-01-01","569.4","4","5",
"OBS_DEU_P1Y_RR","1003","1970-01-01","768.4","4","1",
"OBS_DEU_P1Y_RR","1003","1971-01-01","524.5","4","1",
"OBS_DEU_P1Y_RR","1003","1972-01-01","510.4","4","1",
"OBS_DEU_P1Y_RR","1003","1973-01-01","615.7","4","1",
"OBS_DEU_P1Y_RR","1003","1974-01-01","721.7","4","1",
"OBS_DEU_P1Y_RR","1003","1975-01-01","591.9","4","1",
"OBS_DEU_P1Y_RR","1003","1976-01-01","410.8","4","1",
"OBS_DEU_P1Y_RR","1003","1977-01-01","756.1","4","1",
"OBS_DEU_P1Y_RR","1005","1970-01-01","709.8","4","5",
"OBS_DEU_P1Y_RR","1005","1971-01-01","478.6","4","5",
"OBS_DEU_P1Y_RR","1005","1972-01-01","527.5","4","5",
"OBS_DEU_P1Y_RR","1005","1973-01-01","491.4","4","5",
"OBS_DEU_P1Y_RR","1005","1974-01-01","683.2","4","5",
"OBS_DEU_P1Y_RR","1005","1975-01-01","494","4","5",
"OBS_DEU_P1Y_RR","1005","1976-01-01","437.7","4","5",
"OBS_DEU_P1Y_RR","1005","1977-01-01","696.1","4","5",
"OBS_DEU_P1Y_RR","1005","1978-01-01","632.8","4","5",
"OBS_DEU_P1Y_RR","1005","1979-01-01","573.4","4","5",
"OBS_DEU_P1Y_RR","1006","1971-01-01","471.4","4","5",
"OBS_DEU_P1Y_RR","1006","1972-01-01","518.9","4","5",
"OBS_DEU_P1Y_RR","1006","1973-01-01","512.8","4","5",
"OBS_DEU_P1Y_RR","1006","1974-01-01","614.5","4","5",
"OBS_DEU_P1Y_RR","1006","1976-01-01","437.9","4","5",
"OBS_DEU_P1Y_RR","1006","1977-01-01","520.3","4","5",
"OBS_DEU_P1Y_RR","1006","1978-01-01","522.6","4","5",
"OBS_DEU_P1Y_RR","1006","1979-01-01","536.8","4","5",
"OBS_DEU_P1Y_RR","1008","1970-01-01","955","4","5",
"OBS_DEU_P1Y_RR","1008","1971-01-01","738.2","4","5",
"OBS_DEU_P1Y_RR","1008","1972-01-01","591.5","4","5",
"OBS_DEU_P1Y_RR","1008","1973-01-01","765","4","5",
"OBS_DEU_P1Y_RR","1008","1974-01-01","1016.9","4","5",
"OBS_DEU_P1Y_RR","1008","1975-01-01","708.7","4","5",
"OBS_DEU_P1Y_RR","1008","1976-01-01","627.1","4","5",
"OBS_DEU_P1Y_RR","1008","1977-01-01","969.8","4","5",
"OBS_DEU_P1Y_RR","1008","1978-01-01","913.3","4","5",
"OBS_DEU_P1Y_RR","1008","1979-01-01","760.8","4","5",
"OBS_DEU_P1Y_RR","1009","1970-01-01","675.7","4","5",
"OBS_DEU_P1Y_RR","1009","1971-01-01","472","4","5",
"OBS_DEU_P1Y_RR","1009","1972-01-01","478.9","4","5",
"OBS_DEU_P1Y_RR","1009","1973-01-01","556.9","4","5",
"OBS_DEU_P1Y_RR","1009","1974-01-01","663.4","4","5",
"OBS_DEU_P1Y_RR","1009","1975-01-01","511","4","5",
"OBS_DEU_P1Y_RR","1009","1976-01-01","546.4","4","5",
"OBS_DEU_P1Y_RR","1009","1977-01-01","636.1","4","5",
"OBS_DEU_P1Y_RR","1009","1978-01-01","621.4","4","5",
"OBS_DEU_P1Y_RR","1009","1979-01-01","641.1","4","5",
"OBS_DEU_P1Y_RR","1012","1970-01-01","892.7","4","5",
"OBS_DEU_P1Y_RR","1012","1971-01-01","606.1","4","5",
"OBS_DEU_P1Y_RR","1012","1972-01-01","707.3","4","5",
"OBS_DEU_P1Y_RR","1012","1973-01-01","830.6","4","5",
"OBS_DEU_P1Y_RR","1012","1974-01-01","933.1","4","5",
"OBS_DEU_P1Y_RR","1012","1975-01-01","604.8","4","5",
"OBS_DEU_P1Y_RR","1012","1976-01-01","557.1","4","5",
"OBS_DEU_P1Y_RR","1012","1977-01-01","742.4","4","5",
"OBS_DEU_P1Y_RR","1016","1970-01-01","740.8","4","5",
"OBS_DEU_P1Y_RR","1016","1971-01-01","629.6","4","5",
"OBS_DEU_P1Y_RR","1016","1972-01-01","636.1","4","5",
"OBS_DEU_P1Y_RR","1016","1973-01-01","748.8","4","5",
