"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_T2M","1425","1758-01-01","9.74","4","5",
"OBS_DEU_P1Y_T2M","1425","1759-01-01","10.66","4","5",
"OBS_DEU_P1Y_T2M","1425","1760-01-01","11.01","4","5",
"OBS_DEU_P1Y_T2M","1425","1761-01-01","10.85","4","5",
"OBS_DEU_P1Y_T2M","1425","1762-01-01","10.07","4","5",
"OBS_DEU_P1Y_T2M","1425","1763-01-01","9.77","4","5",
"OBS_DEU_P1Y_T2M","1425","1764-01-01","10.46","4","5",
"OBS_DEU_P1Y_T2M","1425","1765-01-01","10.13","4","5",
"OBS_DEU_P1Y_T2M","1425","1766-01-01","9.9","4","5",
"OBS_DEU_P1Y_T2M","1425","1767-01-01","9.65","4","5",
"OBS_DEU_P1Y_T2M","1425","1768-01-01","9.73","4","5",
"OBS_DEU_P1Y_T2M","1425","1769-01-01","9.73","4","5",
"OBS_DEU_P1Y_T2M","1425","1770-01-01","9.82","4","5",
"OBS_DEU_P1Y_T2M","1425","1771-01-01","9.27","4","5",
"OBS_DEU_P1Y_T2M","1425","1772-01-01","10.59","4","5",
"OBS_DEU_P1Y_T2M","1425","1773-01-01","10.62","4","5",
"OBS_DEU_P1Y_T2M","1425","1774-01-01","10.02","4","5",
"OBS_DEU_P1Y_T2M","1425","1775-01-01","10.83","4","5",
"OBS_DEU_P1Y_T2M","1425","1776-01-01","9.79","4","5",
"OBS_DEU_P1Y_T2M","1425","1777-01-01","9.7","4","5",
"OBS_DEU_P1Y_T2M","1425","1778-01-01","10.47","4","5",
"OBS_DEU_P1Y_T2M","1425","1779-01-01","11.24","4","5",
"OBS_DEU_P1Y_T2M","403","1730-01-01","8.64","4","5",
"OBS_DEU_P1Y_T2M","403","1731-01-01","7.74","4","5",
"OBS_DEU_P1Y_T2M","403","1732-01-01","7.9","4","5",
"OBS_DEU_P1Y_T2M","403","1733-01-01","8.76","4","5",
"OBS_DEU_P1Y_T2M","403","1734-01-01","8.39","4","5",
"OBS_DEU_P1Y_T2M","403","1735-01-01","8.63","4","5",
"OBS_DEU_P1Y_T2M","403","1736-01-01","8.36","4","5",
"OBS_DEU_P1Y_T2M","403","1737-01-01","8.54","4","5",
"OBS_DEU_P1Y_T2M","403","1738-01-01","8.64","4","5",
"OBS_DEU_P1Y_T2M","403","1739-01-01","7.92","4","5",
"OBS_DEU_P1Y_T2M","403","1740-01-01","5.36","4","5",
"OBS_DEU_P1Y_T2M","403","1741-01-01","8.33","4","5",
"OBS_DEU_P1Y_T2M","403","1742-01-01","7.32","4","5",
"OBS_DEU_P1Y_T2M","403","1743-01-01","8.73","4","5",
"OBS_DEU_P1Y_T2M","403","1744-01-01","8.57","4","5",
"OBS_DEU_P1Y_T2M","403","1745-01-01","8.56","4","5",
"OBS_DEU_P1Y_T2M","403","1746-01-01","8.47","4","5",
"OBS_DEU_P1Y_T2M","403","1747-01-01","9.24","4","5",
"OBS_DEU_P1Y_T2M","403","1748-01-01","9.28","4","5",
"OBS_DEU_P1Y_T2M","403","1749-01-01","9.2","4","5",
"OBS_DEU_P1Y_T2M","403","1750-01-01","9.96","4","5",
"OBS_DEU_P1Y_T2M","403","1756-01-01","11.72","4","5",
"OBS_DEU_P1Y_T2M","403","1757-01-01","10.92","4","5",
"OBS_DEU_P1Y_T2M","403","1758-01-01","9.85","4","5",
"OBS_DEU_P1Y_T2M","403","1759-01-01","10.39","4","5",
"OBS_DEU_P1Y_T2M","403","1760-01-01","10.42","4","5",
"OBS_DEU_P1Y_T2M","403","1761-01-01","11.02","4","5",
"OBS_DEU_P1Y_T2M","403","1762-01-01","9.97","4","5",
"OBS_DEU_P1Y_T2M","403","1763-01-01","10.46","4","5",
"OBS_DEU_P1Y_T2M","403","1764-01-01","10.27","4","5",
"OBS_DEU_P1Y_T2M","403","1765-01-01","9.92","4","5",
"OBS_DEU_P1Y_T2M","403","1766-01-01","10.88","4","5",
"OBS_DEU_P1Y_T2M","403","1767-01-01","10.23","4","5",
"OBS_DEU_P1Y_T2M","403","1768-01-01","9.92","4","5",
"OBS_DEU_P1Y_T2M","403","1769-01-01","8.65","4","5",
"OBS_DEU_P1Y_T2M","403","1770-01-01","8.78","4","5",
"OBS_DEU_P1Y_T2M","403","1771-01-01","7.76","4","5",
"OBS_DEU_P1Y_T2M","403","1772-01-01","9.36","4","5",
"OBS_DEU_P1Y_T2M","403","1773-01-01","9.74","4","5",
"OBS_DEU_P1Y_T2M","403","1774-01-01","8.4","4","5",
"OBS_DEU_P1Y_T2M","403","1775-01-01","10.09","4","5",
"OBS_DEU_P1Y_T2M","403","1776-01-01","8.13","4","5",
"OBS_DEU_P1Y_T2M","403","1777-01-01","8.22","4","5",
"OBS_DEU_P1Y_T2M","403","1778-01-01","9.8","4","5",
"OBS_DEU_P1Y_T2M","403","1779-01-01","11.03","4","5",
