"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"19208","Utzenfeld","7,8969","47,8210","670.0","https://cdc.dwd.de/rest/metadata/station/html/1406018579"
"14032","Heimbach-Weis/Rhein","7,5357","50,4468","78.0","https://cdc.dwd.de/rest/metadata/station/html/1439423460"
"19332","Fichtenau-Großenhub","10,1691","49,0880","512.0","https://cdc.dwd.de/rest/metadata/station/html/1444453233"
"15977","Arberg-Gothendorf","10,6624","49,1442","437.0","https://cdc.dwd.de/rest/metadata/station/html/1461739801"
"7231","Niederstetten-Adolzhausen","9,8691","49,4042","375.0","https://cdc.dwd.de/rest/metadata/station/html/1461912763"
"7496","Rosenberg","10,0477","49,0137","460.0","https://cdc.dwd.de/rest/metadata/station/html/1471359393"
"19251","Adenau","6,9337","50,3824","320.0","https://cdc.dwd.de/rest/metadata/station/html/1473634619"
"17448","Berlin-Lichtenrade (Lockestr.)","13,4020","52,3890","43.0","https://cdc.dwd.de/rest/metadata/station/html/149244874"
"2738","Kreuth","11,7438","47,6448","776.0","https://cdc.dwd.de/rest/metadata/station/html/1494443371"
"19723","Weilerbach","7,6580","49,4966","220.0","https://cdc.dwd.de/rest/metadata/station/html/1511744406"
"19676","Sproitz","14,7448","51,2823","160.0","https://cdc.dwd.de/rest/metadata/station/html/1517666422"
"17486","Berlin-Wilhelmstadt","13,2020","52,5200","33.0","https://cdc.dwd.de/rest/metadata/station/html/1520041349"
"15813","Lingen-Baccum","7,4131","52,5126","40.0","https://cdc.dwd.de/rest/metadata/station/html/1521876489"
"19673","Rippoldsau, Bad/Schwarzwald","8,3149","48,4393","560.0","https://cdc.dwd.de/rest/metadata/station/html/153344865"
"15212","Hausen","7,3813","49,8736","297.0","https://cdc.dwd.de/rest/metadata/station/html/1535634857"
"19514","Lengenfeld (Vogtland)","12,3700","50,5800","376.0","https://cdc.dwd.de/rest/metadata/station/html/1536165202"
