"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_T2M","1047","1828-01-01","8.57","4","1",
"OBS_DEU_P1Y_T2M","1047","1829-01-01","6.37","4","1",
"OBS_DEU_P1Y_T2M","1425","1780-01-01","10.09","4","5",
"OBS_DEU_P1Y_T2M","1425","1781-01-01","11.31","4","5",
"OBS_DEU_P1Y_T2M","1425","1782-01-01","9.14","4","5",
"OBS_DEU_P1Y_T2M","1425","1783-01-01","10.72","4","5",
"OBS_DEU_P1Y_T2M","1425","1784-01-01","8.86","4","5",
"OBS_DEU_P1Y_T2M","1425","1785-01-01","8.82","4","5",
"OBS_DEU_P1Y_T2M","1425","1826-01-01","9.39","4","5",
"OBS_DEU_P1Y_T2M","1425","1827-01-01","9.88","4","5",
"OBS_DEU_P1Y_T2M","1425","1828-01-01","10.53","4","5",
"OBS_DEU_P1Y_T2M","1425","1829-01-01","7.75","4","5",
"OBS_DEU_P1Y_T2M","2290","1781-01-01","7.18","4","8",
"OBS_DEU_P1Y_T2M","2290","1782-01-01","5.07","4","8",
"OBS_DEU_P1Y_T2M","2290","1783-01-01","6.42","4","8",
"OBS_DEU_P1Y_T2M","2290","1784-01-01","4.61","4","8",
"OBS_DEU_P1Y_T2M","2290","1785-01-01","4.24","4","8",
"OBS_DEU_P1Y_T2M","2290","1786-01-01","4.58","4","8",
"OBS_DEU_P1Y_T2M","2290","1787-01-01","6.32","4","8",
"OBS_DEU_P1Y_T2M","2290","1788-01-01","5.55","4","8",
"OBS_DEU_P1Y_T2M","2290","1789-01-01","5.63","4","8",
"OBS_DEU_P1Y_T2M","2290","1790-01-01","6.28","4","8",
"OBS_DEU_P1Y_T2M","2290","1791-01-01","6.29","4","8",
"OBS_DEU_P1Y_T2M","2290","1792-01-01","6.16","4","8",
"OBS_DEU_P1Y_T2M","2290","1793-01-01","6.78","4","8",
"OBS_DEU_P1Y_T2M","2290","1794-01-01","7.04","4","8",
"OBS_DEU_P1Y_T2M","2290","1795-01-01","6.51","4","8",
"OBS_DEU_P1Y_T2M","2290","1796-01-01","6.07","4","8",
"OBS_DEU_P1Y_T2M","2290","1797-01-01","6.99","4","8",
"OBS_DEU_P1Y_T2M","2290","1798-01-01","5.78","4","8",
"OBS_DEU_P1Y_T2M","2290","1799-01-01","5.19","4","8",
"OBS_DEU_P1Y_T2M","2290","1800-01-01","6.62","4","8",
"OBS_DEU_P1Y_T2M","2290","1801-01-01","6.41","4","8",
"OBS_DEU_P1Y_T2M","2290","1802-01-01","6.61","4","8",
"OBS_DEU_P1Y_T2M","2290","1803-01-01","5.36","4","8",
"OBS_DEU_P1Y_T2M","2290","1804-01-01","6.05","4","8",
"OBS_DEU_P1Y_T2M","2290","1805-01-01","4.64","4","8",
"OBS_DEU_P1Y_T2M","2290","1806-01-01","7.22","4","8",
"OBS_DEU_P1Y_T2M","2290","1807-01-01","6.72","4","8",
"OBS_DEU_P1Y_T2M","2290","1808-01-01","5.55","4","8",
"OBS_DEU_P1Y_T2M","2290","1809-01-01","7.24","4","8",
"OBS_DEU_P1Y_T2M","2290","1810-01-01","7.62","4","8",
"OBS_DEU_P1Y_T2M","2290","1813-01-01","4.9","4","8",
"OBS_DEU_P1Y_T2M","2290","1814-01-01","4.84","4","8",
"OBS_DEU_P1Y_T2M","2290","1815-01-01","5.2","4","8",
"OBS_DEU_P1Y_T2M","2290","1816-01-01","3.94","4","8",
"OBS_DEU_P1Y_T2M","2290","1817-01-01","5.36","4","8",
"OBS_DEU_P1Y_T2M","2290","1818-01-01","6.35","4","8",
"OBS_DEU_P1Y_T2M","2290","1819-01-01","6.36","4","8",
"OBS_DEU_P1Y_T2M","2290","1820-01-01","4.91","4","8",
"OBS_DEU_P1Y_T2M","2290","1821-01-01","6.2","4","8",
"OBS_DEU_P1Y_T2M","2290","1822-01-01","7.37","4","8",
"OBS_DEU_P1Y_T2M","2290","1823-01-01","5.74","4","8",
"OBS_DEU_P1Y_T2M","2290","1824-01-01","6.07","4","8",
"OBS_DEU_P1Y_T2M","2290","1825-01-01","5.88","4","8",
"OBS_DEU_P1Y_T2M","2290","1826-01-01","5.85","4","8",
"OBS_DEU_P1Y_T2M","2290","1827-01-01","5.74","4","8",
"OBS_DEU_P1Y_T2M","2290","1828-01-01","6.3","4","8",
"OBS_DEU_P1Y_T2M","2290","1829-01-01","3.73","4","8",
"OBS_DEU_P1Y_T2M","2444","1821-01-01","9.38","4","1",
"OBS_DEU_P1Y_T2M","2444","1822-01-01","10.14","4","1",
"OBS_DEU_P1Y_T2M","2444","1824-01-01","9.9","4","2",
"OBS_DEU_P1Y_T2M","2444","1825-01-01","9.84","4","2",
"OBS_DEU_P1Y_T2M","2444","1826-01-01","9.6","4","2",
"OBS_DEU_P1Y_T2M","2444","1827-01-01","9.27","4","2",
"OBS_DEU_P1Y_T2M","2444","1828-01-01","9.69","4","2",
"OBS_DEU_P1Y_T2M","2444","1829-01-01","6.95","4","2",
"OBS_DEU_P1Y_T2M","3382","1801-01-01","9.27","4","5",
"OBS_DEU_P1Y_T2M","3382","1802-01-01","8.78","4","5",
"OBS_DEU_P1Y_T2M","3382","1803-01-01","7.63","4","5",
"OBS_DEU_P1Y_T2M","3382","1804-01-01","8.22","4","5",
"OBS_DEU_P1Y_T2M","3382","1805-01-01","6.66","4","5",
"OBS_DEU_P1Y_T2M","3382","1806-01-01","8.77","4","5",
"OBS_DEU_P1Y_T2M","3382","1807-01-01","8.28","4","5",
"OBS_DEU_P1Y_T2M","3382","1808-01-01","5.91","4","5",
"OBS_DEU_P1Y_T2M","3382","1809-01-01","7.36","4","5",
"OBS_DEU_P1Y_T2M","3382","1810-01-01","7.54","4","5",
"OBS_DEU_P1Y_T2M","3382","1811-01-01","8.87","4","5",
"OBS_DEU_P1Y_T2M","3382","1812-01-01","7.03","4","5",
"OBS_DEU_P1Y_T2M","3382","1813-01-01","7.58","4","5",
"OBS_DEU_P1Y_T2M","3382","1814-01-01","7.41","4","5",
"OBS_DEU_P1Y_T2M","3382","1815-01-01","7.87","4","5",
"OBS_DEU_P1Y_T2M","3382","1816-01-01","7.16","4","5",
"OBS_DEU_P1Y_T2M","3382","1817-01-01","7.83","4","5",
