"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_T2M","1047","1831-01-01","8.63","4","1",
"OBS_DEU_P1Y_T2M","1047","1832-01-01","7.78","4","1",
"OBS_DEU_P1Y_T2M","1047","1833-01-01","8.52","4","1",
"OBS_DEU_P1Y_T2M","1047","1834-01-01","10.16","4","1",
"OBS_DEU_P1Y_T2M","1047","1835-01-01","9","4","1",
"OBS_DEU_P1Y_T2M","1047","1836-01-01","9.13","4","1",
"OBS_DEU_P1Y_T2M","1047","1837-01-01","8.18","4","1",
"OBS_DEU_P1Y_T2M","1047","1838-01-01","7.06","4","1",
"OBS_DEU_P1Y_T2M","1047","1839-01-01","8.9","4","1",
"OBS_DEU_P1Y_T2M","1047","1840-01-01","7.92","4","1",
"OBS_DEU_P1Y_T2M","1047","1841-01-01","9.56","4","1",
"OBS_DEU_P1Y_T2M","1047","1842-01-01","8.6","4","1",
"OBS_DEU_P1Y_T2M","1047","1843-01-01","9.49","4","1",
"OBS_DEU_P1Y_T2M","1047","1844-01-01","8.45","4","1",
"OBS_DEU_P1Y_T2M","1047","1845-01-01","8.46","4","1",
"OBS_DEU_P1Y_T2M","1047","1846-01-01","10.3","4","1",
"OBS_DEU_P1Y_T2M","1047","1847-01-01","8.89","4","1",
"OBS_DEU_P1Y_T2M","1047","1848-01-01","9.51","4","1",
"OBS_DEU_P1Y_T2M","1047","1849-01-01","8.65","4","1",
"OBS_DEU_P1Y_T2M","1047","1851-01-01","8.83","4","1",
"OBS_DEU_P1Y_T2M","1047","1852-01-01","10.11","4","1",
"OBS_DEU_P1Y_T2M","1047","1865-01-01","9.63","4","5",
"OBS_DEU_P1Y_T2M","1047","1866-01-01","9.88","4","5",
"OBS_DEU_P1Y_T2M","1047","1867-01-01","8.41","4","5",
"OBS_DEU_P1Y_T2M","1047","1868-01-01","10.88","4","5",
"OBS_DEU_P1Y_T2M","1047","1869-01-01","9.7","4","5",
"OBS_DEU_P1Y_T2M","1047","1870-01-01","7.62","4","5",
"OBS_DEU_P1Y_T2M","1047","1871-01-01","6.87","4","5",
"OBS_DEU_P1Y_T2M","1047","1872-01-01","9.85","4","5",
"OBS_DEU_P1Y_T2M","1047","1873-01-01","9.09","4","5",
"OBS_DEU_P1Y_T2M","1047","1874-01-01","8.7","4","5",
"OBS_DEU_P1Y_T2M","1047","1875-01-01","7.73","4","5",
"OBS_DEU_P1Y_T2M","1047","1876-01-01","8.63","4","5",
"OBS_DEU_P1Y_T2M","1047","1877-01-01","8.88","4","5",
"OBS_DEU_P1Y_T2M","1047","1878-01-01","9.34","4","5",
"OBS_DEU_P1Y_T2M","1047","1879-01-01","7.68","4","5",
"OBS_DEU_P1Y_T2M","1106","1876-01-01","7.8","4","5",
"OBS_DEU_P1Y_T2M","1106","1877-01-01","8.37","4","5",
"OBS_DEU_P1Y_T2M","1106","1878-01-01","8.93","4","5",
"OBS_DEU_P1Y_T2M","1106","1879-01-01","6.57","4","5",
