"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_RR","1","1920-01-01","705.6","4","1",
"OBS_DEU_P1Y_RR","1","1921-01-01","517.2","4","1",
"OBS_DEU_P1Y_RR","1","1922-01-01","947.9","4","1",
"OBS_DEU_P1Y_RR","1","1923-01-01","636.6","4","1",
"OBS_DEU_P1Y_RR","1","1924-01-01","690.5","4","1",
"OBS_DEU_P1Y_RR","1","1925-01-01","814.6","4","1",
"OBS_DEU_P1Y_RR","1","1926-01-01","822.7","4","1",
"OBS_DEU_P1Y_RR","1","1927-01-01","877.1","4","1",
"OBS_DEU_P1Y_RR","1","1928-01-01","614.8","4","1",
"OBS_DEU_P1Y_RR","1","1929-01-01","703.1","4","1",
"OBS_DEU_P1Y_RR","1001","1920-01-01","543.8","4","1",
"OBS_DEU_P1Y_RR","1001","1922-01-01","609.3","4","1",
"OBS_DEU_P1Y_RR","1001","1923-01-01","670.5","4","1",
"OBS_DEU_P1Y_RR","1001","1924-01-01","529.4","4","1",
"OBS_DEU_P1Y_RR","1001","1925-01-01","587.1","4","1",
"OBS_DEU_P1Y_RR","1001","1926-01-01","751.7","4","1",
"OBS_DEU_P1Y_RR","1001","1928-01-01","569.1","4","1",
"OBS_DEU_P1Y_RR","1001","1929-01-01","429.3","4","1",
"OBS_DEU_P1Y_RR","1003","1920-01-01","761","4","1",
"OBS_DEU_P1Y_RR","1003","1921-01-01","744.1","4","1",
"OBS_DEU_P1Y_RR","1003","1927-01-01","844.5","4","1",
"OBS_DEU_P1Y_RR","1003","1928-01-01","564.4","4","1",
"OBS_DEU_P1Y_RR","1006","1920-01-01","593.8","4","1",
"OBS_DEU_P1Y_RR","1006","1921-01-01","463.8","4","1",
"OBS_DEU_P1Y_RR","1006","1922-01-01","571.9","4","1",
"OBS_DEU_P1Y_RR","1006","1923-01-01","562.5","4","1",
"OBS_DEU_P1Y_RR","1006","1924-01-01","616.2","4","1",
"OBS_DEU_P1Y_RR","1006","1925-01-01","525.4","4","1",
"OBS_DEU_P1Y_RR","1006","1926-01-01","723.9","4","1",
"OBS_DEU_P1Y_RR","1006","1927-01-01","714.3","4","1",
"OBS_DEU_P1Y_RR","1006","1928-01-01","683.3","4","1",
"OBS_DEU_P1Y_RR","1006","1929-01-01","458","4","1",
"OBS_DEU_P1Y_RR","1009","1923-01-01","666","4","5",
"OBS_DEU_P1Y_RR","1009","1924-01-01","661","4","5",
"OBS_DEU_P1Y_RR","1009","1925-01-01","658","4","5",
"OBS_DEU_P1Y_RR","1009","1926-01-01","804","4","5",
"OBS_DEU_P1Y_RR","1009","1928-01-01","680","4","5",
"OBS_DEU_P1Y_RR","1009","1929-01-01","469","4","5",
"OBS_DEU_P1Y_RR","101","1920-01-01","775","4","5",
"OBS_DEU_P1Y_RR","101","1921-01-01","581","4","5",
"OBS_DEU_P1Y_RR","101","1922-01-01","1110","4","5",
"OBS_DEU_P1Y_RR","101","1923-01-01","829","4","5",
"OBS_DEU_P1Y_RR","101","1924-01-01","1002","4","5",
"OBS_DEU_P1Y_RR","101","1925-01-01","804","4","5",
"OBS_DEU_P1Y_RR","101","1926-01-01","872","4","5",
"OBS_DEU_P1Y_RR","101","1927-01-01","955","4","5",
"OBS_DEU_P1Y_RR","101","1928-01-01","756","4","5",
"OBS_DEU_P1Y_RR","101","1929-01-01","646","4","5",
"OBS_DEU_P1Y_RR","1014","1920-01-01","632","4","5",
"OBS_DEU_P1Y_RR","1014","1921-01-01","402","4","5",
"OBS_DEU_P1Y_RR","1014","1922-01-01","616","4","5",
"OBS_DEU_P1Y_RR","1014","1923-01-01","729","4","5",
"OBS_DEU_P1Y_RR","1014","1924-01-01","474","4","5",
"OBS_DEU_P1Y_RR","1014","1925-01-01","740","4","5",
"OBS_DEU_P1Y_RR","1014","1926-01-01","769","4","5",
"OBS_DEU_P1Y_RR","1014","1927-01-01","773","4","5",
"OBS_DEU_P1Y_RR","1014","1928-01-01","641","4","5",
"OBS_DEU_P1Y_RR","1014","1929-01-01","508","4","5",
"OBS_DEU_P1Y_RR","1015","1929-01-01","443","4","5",
"OBS_DEU_P1Y_RR","1018","1920-01-01","721","4","5",
"OBS_DEU_P1Y_RR","1018","1921-01-01","517","4","5",
"OBS_DEU_P1Y_RR","1018","1922-01-01","1072","4","5",
"OBS_DEU_P1Y_RR","1018","1923-01-01","772","4","5",
"OBS_DEU_P1Y_RR","1018","1924-01-01","723","4","5",
"OBS_DEU_P1Y_RR","1018","1925-01-01","729","4","5",
"OBS_DEU_P1Y_RR","1018","1926-01-01","731","4","5",
"OBS_DEU_P1Y_RR","1018","1927-01-01","883","4","5",
"OBS_DEU_P1Y_RR","1018","1928-01-01","720","4","5",
"OBS_DEU_P1Y_RR","1018","1929-01-01","581","4","5",
