"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_RR","10","1990-01-01","762.8","4","10",
"OBS_DEU_P1Y_RR","10","1991-01-01","695.4","4","9",
"OBS_DEU_P1Y_RR","10","1992-01-01","628.7","4","9",
"OBS_DEU_P1Y_RR","10","1993-01-01","800.7","4","9",
"OBS_DEU_P1Y_RR","10","1994-01-01","724.7","4","9",
"OBS_DEU_P1Y_RR","10","1995-01-01","866.3","4","9",
"OBS_DEU_P1Y_RR","10","1996-01-01","659.4","4","9",
"OBS_DEU_P1Y_RR","10","1997-01-01","650.8","4","9",
"OBS_DEU_P1Y_RR","10","1998-01-01","832","4","9",
"OBS_DEU_P1Y_RR","10","1999-01-01","763.1","4","9",
"OBS_DEU_P1Y_RR","100","1990-01-01","451.3","4","1",
"OBS_DEU_P1Y_RR","100","1991-01-01","337.5","4","9",
"OBS_DEU_P1Y_RR","100","1992-01-01","459.8","4","9",
"OBS_DEU_P1Y_RR","100","1993-01-01","610.3","4","9",
"OBS_DEU_P1Y_RR","100","1994-01-01","657.7","4","9",
"OBS_DEU_P1Y_RR","100","1995-01-01","708.2","4","9",
"OBS_DEU_P1Y_RR","100","1996-01-01","478.8","4","9",
"OBS_DEU_P1Y_RR","100","1997-01-01","607.9","4","9",
"OBS_DEU_P1Y_RR","100","1998-01-01","617","4","9",
"OBS_DEU_P1Y_RR","100","1999-01-01","508.8","4","9",
"OBS_DEU_P1Y_RR","1000","1990-01-01","729","4","10",
"OBS_DEU_P1Y_RR","1000","1991-01-01","580.5","4","9",
"OBS_DEU_P1Y_RR","1000","1992-01-01","526.7","4","9",
"OBS_DEU_P1Y_RR","1000","1993-01-01","787.1","4","9",
"OBS_DEU_P1Y_RR","1000","1994-01-01","757","4","9",
"OBS_DEU_P1Y_RR","1000","1995-01-01","545.2","4","9",
"OBS_DEU_P1Y_RR","1000","1996-01-01","409.7","4","9",
"OBS_DEU_P1Y_RR","1001","1990-01-01","488.7","4","10",
"OBS_DEU_P1Y_RR","1001","1991-01-01","369.3","4","9",
"OBS_DEU_P1Y_RR","1001","1993-01-01","631.3","4","9",
"OBS_DEU_P1Y_RR","1001","1994-01-01","764.1","4","9",
"OBS_DEU_P1Y_RR","1001","1995-01-01","662.1","4","9",
"OBS_DEU_P1Y_RR","1001","1996-01-01","482.2","4","9",
"OBS_DEU_P1Y_RR","1001","1997-01-01","459.9","4","9",
"OBS_DEU_P1Y_RR","1001","1998-01-01","622.4","4","9",
"OBS_DEU_P1Y_RR","1001","1999-01-01","502.5","4","9",
"OBS_DEU_P1Y_RR","1002","1990-01-01","553.5","4","10",
"OBS_DEU_P1Y_RR","1002","1991-01-01","478.7","4","9",
"OBS_DEU_P1Y_RR","1002","1992-01-01","580.8","4","9",
"OBS_DEU_P1Y_RR","1002","1993-01-01","715.5","4","9",
"OBS_DEU_P1Y_RR","1002","1994-01-01","712.6","4","9",
"OBS_DEU_P1Y_RR","1002","1995-01-01","670.6","4","9",
"OBS_DEU_P1Y_RR","1002","1996-01-01","506.3","4","9",
"OBS_DEU_P1Y_RR","1002","1997-01-01","537.8","4","9",
"OBS_DEU_P1Y_RR","1002","1998-01-01","640.7","4","9",
"OBS_DEU_P1Y_RR","1002","1999-01-01","495","4","9",
"OBS_DEU_P1Y_RR","1004","1995-01-01","759.7","4","9",
"OBS_DEU_P1Y_RR","1004","1996-01-01","605.2","4","9",
"OBS_DEU_P1Y_RR","1004","1997-01-01","689.4","4","9",
"OBS_DEU_P1Y_RR","1004","1998-01-01","868.9","4","9",
"OBS_DEU_P1Y_RR","1004","1999-01-01","566.6","4","9",
"OBS_DEU_P1Y_RR","1005","1990-01-01","469.2","4","10",
"OBS_DEU_P1Y_RR","1005","1991-01-01","399.3","4","9",
"OBS_DEU_P1Y_RR","1005","1992-01-01","576.5","4","9",
"OBS_DEU_P1Y_RR","1005","1993-01-01","598.6","4","9",
"OBS_DEU_P1Y_RR","1005","1994-01-01","649.6","4","9",
"OBS_DEU_P1Y_RR","1005","1995-01-01","817.3","4","9",
"OBS_DEU_P1Y_RR","1005","1996-01-01","509","4","9",
"OBS_DEU_P1Y_RR","1005","1997-01-01","531.7","4","9",
"OBS_DEU_P1Y_RR","1005","1998-01-01","617.5","4","9",
"OBS_DEU_P1Y_RR","1005","1999-01-01","519.3","4","9",
"OBS_DEU_P1Y_RR","1006","1990-01-01","635.2","4","10",
"OBS_DEU_P1Y_RR","1006","1991-01-01","424.2","4","9",
"OBS_DEU_P1Y_RR","1006","1992-01-01","574.1","4","9",
"OBS_DEU_P1Y_RR","1006","1993-01-01","695.7","4","9",
"OBS_DEU_P1Y_RR","1006","1994-01-01","684.1","4","9",
"OBS_DEU_P1Y_RR","1006","1995-01-01","517.9","4","9",
"OBS_DEU_P1Y_RR","1006","1996-01-01","422.8","4","9",
"OBS_DEU_P1Y_RR","1006","1997-01-01","485.1","4","9",
"OBS_DEU_P1Y_RR","1006","1998-01-01","697.6","4","9",
"OBS_DEU_P1Y_RR","1006","1999-01-01","508","4","9",
"OBS_DEU_P1Y_RR","1007","1990-01-01","549","4","10",
"OBS_DEU_P1Y_RR","1007","1991-01-01","495.9","4","9",
"OBS_DEU_P1Y_RR","1007","1992-01-01","672.3","4","9",
"OBS_DEU_P1Y_RR","1007","1993-01-01","723.4","4","9",
"OBS_DEU_P1Y_RR","1007","1994-01-01","770.9","4","9",
"OBS_DEU_P1Y_RR","1007","1995-01-01","574.4","4","9",
"OBS_DEU_P1Y_RR","1007","1996-01-01","484.3","4","9",
"OBS_DEU_P1Y_RR","1007","1997-01-01","543.7","4","9",
"OBS_DEU_P1Y_RR","1007","1998-01-01","616.2","4","9",
"OBS_DEU_P1Y_RR","1007","1999-01-01","520.3","4","9",
"OBS_DEU_P1Y_RR","1008","1990-01-01","677.2","4","10",
"OBS_DEU_P1Y_RR","101","1994-01-01","889.5","4","9",
"OBS_DEU_P1Y_RR","101","1995-01-01","1041.7","4","9",
