"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_RR","1001","2020-01-01","494","4","9",
"OBS_DEU_P1Y_RR","1001","2021-01-01","603.9","4","9",
"OBS_DEU_P1Y_RR","1001","2022-01-01","422.1","4","7",
"OBS_DEU_P1Y_RR","1001","2024-01-01","523.9","4","1",
"OBS_DEU_P1Y_RR","1014","2020-01-01","747.5","4","9",
"OBS_DEU_P1Y_RR","1014","2021-01-01","785","4","9",
"OBS_DEU_P1Y_RR","1014","2022-01-01","776.8","4","7",
"OBS_DEU_P1Y_RR","1014","2023-01-01","1021","4","3",
"OBS_DEU_P1Y_RR","1014","2024-01-01","963.5","4","1",
"OBS_DEU_P1Y_RR","1016","2020-01-01","768.7","4","9",
"OBS_DEU_P1Y_RR","1016","2021-01-01","802.1","4","9",
"OBS_DEU_P1Y_RR","1016","2022-01-01","714.3","4","7",
"OBS_DEU_P1Y_RR","1016","2023-01-01","1005.3","4","3",
"OBS_DEU_P1Y_RR","1016","2024-01-01","913","4","1",
"OBS_DEU_P1Y_RR","1021","2020-01-01","509","4","9",
"OBS_DEU_P1Y_RR","1021","2021-01-01","657.2","4","9",
"OBS_DEU_P1Y_RR","1021","2022-01-01","484.4","4","7",
"OBS_DEU_P1Y_RR","1021","2023-01-01","661.3","4","3",
"OBS_DEU_P1Y_RR","1021","2024-01-01","630.1","4","1",
"OBS_DEU_P1Y_RR","1022","2020-01-01","805.6","4","9",
"OBS_DEU_P1Y_RR","1022","2021-01-01","963.5","4","9",
"OBS_DEU_P1Y_RR","1022","2022-01-01","762.6","4","7",
"OBS_DEU_P1Y_RR","1022","2023-01-01","958.1","4","3",
"OBS_DEU_P1Y_RR","1022","2024-01-01","853.3","4","1",
"OBS_DEU_P1Y_RR","1023","2024-01-01","972","4","1",
"OBS_DEU_P1Y_RR","1024","2020-01-01","650.4","4","9",
"OBS_DEU_P1Y_RR","1024","2021-01-01","839.8","4","9",
"OBS_DEU_P1Y_RR","1024","2022-01-01","598","4","7",
"OBS_DEU_P1Y_RR","1024","2023-01-01","956.9","4","3",
"OBS_DEU_P1Y_RR","1024","2024-01-01","992.7","4","1",
"OBS_DEU_P1Y_RR","103","2020-01-01","701.5","4","9",
"OBS_DEU_P1Y_RR","103","2021-01-01","713.8","4","9",
"OBS_DEU_P1Y_RR","103","2022-01-01","646.8","4","7",
"OBS_DEU_P1Y_RR","103","2023-01-01","831.1","4","3",
"OBS_DEU_P1Y_RR","103","2024-01-01","884.4","4","1",
"OBS_DEU_P1Y_RR","1030","2020-01-01","938.6","4","9",
"OBS_DEU_P1Y_RR","1030","2021-01-01","954.6","4","9",
"OBS_DEU_P1Y_RR","1030","2022-01-01","859.1","4","7",
"OBS_DEU_P1Y_RR","1030","2023-01-01","1316.2","4","3",
"OBS_DEU_P1Y_RR","1030","2024-01-01","1141.9","4","1",
"OBS_DEU_P1Y_RR","10339","2020-01-01","791.6","4","9",
"OBS_DEU_P1Y_RR","10339","2021-01-01","841.5","4","9",
"OBS_DEU_P1Y_RR","10339","2022-01-01","877.2","4","7",
"OBS_DEU_P1Y_RR","10339","2023-01-01","1003.3","4","3",
"OBS_DEU_P1Y_RR","10339","2024-01-01","906.7","4","1",
"OBS_DEU_P1Y_RR","1039","2021-01-01","656.7","4","9",
"OBS_DEU_P1Y_RR","1039","2022-01-01","581.8","4","7",
"OBS_DEU_P1Y_RR","1039","2023-01-01","1085.4","4","3",
"OBS_DEU_P1Y_RR","1039","2024-01-01","942.4","4","1",
"OBS_DEU_P1Y_RR","1046","2021-01-01","612.2","4","9",
"OBS_DEU_P1Y_RR","1046","2022-01-01","589.2","4","7",
"OBS_DEU_P1Y_RR","1046","2023-01-01","1167","4","3",
"OBS_DEU_P1Y_RR","1046","2024-01-01","837.5","4","1",
"OBS_DEU_P1Y_RR","1048","2020-01-01","536","4","9",
"OBS_DEU_P1Y_RR","1048","2021-01-01","735.3","4","9",
"OBS_DEU_P1Y_RR","1048","2022-01-01","506","4","7",
"OBS_DEU_P1Y_RR","1048","2023-01-01","740.4","4","3",
"OBS_DEU_P1Y_RR","1048","2024-01-01","638.1","4","1",
"OBS_DEU_P1Y_RR","105","2020-01-01","599.6","4","9",
"OBS_DEU_P1Y_RR","105","2022-01-01","649.7","4","7",
"OBS_DEU_P1Y_RR","105","2023-01-01","807.1","4","3",
"OBS_DEU_P1Y_RR","105","2024-01-01","842.7","4","1",
"OBS_DEU_P1Y_RR","1050","2020-01-01","611.7","4","9",
"OBS_DEU_P1Y_RR","1050","2021-01-01","714.7","4","9",
"OBS_DEU_P1Y_RR","1050","2022-01-01","464.9","4","7",
"OBS_DEU_P1Y_RR","1050","2023-01-01","700","4","3",
"OBS_DEU_P1Y_RR","1050","2024-01-01","662.9","4","1",
"OBS_DEU_P1Y_RR","1051","2020-01-01","573","4","9",
"OBS_DEU_P1Y_RR","1051","2021-01-01","661.9","4","9",
"OBS_DEU_P1Y_RR","1051","2022-01-01","472.8","4","7",
